buildId,scenarioId,seed,result,turns,actions,hp,stamina,mana,impact,bleeds,staggers,manaSpent,completed
heavy,basic,1,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,2,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,3,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,4,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,5,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,6,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,7,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,8,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,9,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,10,victory,3,11,80,2,1,19,0,1,0,
heavy,basic,11,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,12,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,13,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,14,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,15,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,16,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,17,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,18,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,19,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,20,victory,2,6,74,2,1,19,0,1,0,
heavy,basic,21,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,22,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,23,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,24,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,25,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,26,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,27,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,28,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,29,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,30,victory,3,9,80,1,1,17,0,0,0,
heavy,basic,31,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,32,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,33,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,34,victory,3,10,76,1,1,18,0,1,0,
heavy,basic,35,victory,3,10,80,2,1,19,0,1,0,
heavy,basic,36,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,37,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,38,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,39,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,40,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,41,victory,3,8,80,4,1,19,0,1,0,
heavy,basic,42,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,43,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,44,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,45,victory,3,8,80,5,1,19,0,1,0,
heavy,basic,46,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,47,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,48,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,49,victory,3,8,74,4,1,17,0,0,0,
heavy,basic,50,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,51,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,52,victory,3,8,74,3,1,19,0,1,0,
heavy,basic,53,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,54,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,55,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,56,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,57,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,58,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,59,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,60,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,61,victory,3,9,80,1,1,17,0,0,0,
heavy,basic,62,victory,3,9,80,0,1,19,0,1,0,
heavy,basic,63,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,64,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,65,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,66,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,67,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,68,victory,3,8,80,3,1,19,0,1,0,
heavy,basic,69,victory,3,10,80,2,1,19,0,1,0,
heavy,basic,70,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,71,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,72,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,73,victory,3,9,80,3,1,19,0,1,0,
heavy,basic,74,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,75,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,76,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,77,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,78,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,79,victory,3,8,80,5,1,19,0,1,0,
heavy,basic,80,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,81,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,82,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,83,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,84,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,85,victory,3,9,80,2,1,19,0,1,0,
heavy,basic,86,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,87,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,88,victory,3,8,77,3,1,19,0,1,0,
heavy,basic,89,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,90,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,91,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,92,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,93,victory,2,6,74,3,1,19,0,1,0,
heavy,basic,94,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,95,victory,2,6,74,3,1,17,0,0,0,
heavy,basic,96,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,97,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,98,victory,3,11,76,1,1,18,0,1,0,
heavy,basic,99,victory,3,9,80,5,1,19,0,1,0,
heavy,basic,100,victory,2,7,80,0,1,17,0,0,0,
